type;label;cond;id;length;Lperf;hydr;nP;nM
port;drag-4;l;281;2.10;NA;0;0;NA
port;drag-4;l;282;2.00;NA;0;0;NA
port;drag-4;l;283;2.80;NA;0;0;NA
port;drag-4;l;284;2.80;NA;0;0;NA
port;drag-4;l;285;2.30;NA;0;0;NA
port;drag-4;l;286;2.40;NA;0;0;NA
port;drag-4;l;287;2.10;NA;0;0;NA
port;drag-4;l;288;2.30;NA;0;0;NA
port;drag-4;l;289;1.80;NA;0;0;NA
port;drag-4;l;290;2.50;NA;0;0;NA
port;drag-4;l;291;2.10;NA;0;0;NA
port;drag-4;l;292;2.20;NA;0;0;NA
port;drag-4;l;293;1.90;NA;0;0;NA
port;drag-4;l;294;1.90;NA;0;0;NA
port;drag-4;l;295;2.20;NA;0;0;NA
port;drag-4;l;296;1.90;NA;0;0;NA
port;drag-4;l;297;1.60;NA;0;0;NA
port;drag-4;l;298;1.50;NA;0;0;NA
port;drag-4;l;299;1.80;NA;0;0;NA
port;drag-10;l;309;12.20;NA;0;0;NA
port;drag-10;l;312;11.10;NA;0;0;NA
port;drag-10;l;317;12.30;NA;0;0;NA
port;drag-10;l;318;8.10;NA;0;0;NA
port;drag-10;l;319;8.40;NA;0;0;NA
port;drag-10;l;320;8.30;NA;0;0;NA
port;drag-10;l;322;9.90;NA;0;0;NA
port;drag-10;l;326;6.90;NA;0;0;NA
port;drag-10;l;329;2.80;NA;0;0;NA
port;drag-10;l;331;1.80;NA;0;0;NA
port;drag-10;l;332;6.90;NA;0;0;NA
port;drag-10;l;335;7.10;NA;0;0;NA
port;drag-10;l;336;2.40;NA;0;0;NA
port;drag-10;l;337;2.20;NA;0;0;NA
port;drag-10;l;338;3.10;NA;0;0;NA
port;drag-9;l;341;11.90;NA;0;0;NA
port;drag-9;l;363;9.10;NA;0;0;NA
port;drag-9;l;367;7.00;NA;0;0;NA
port;drag-9;l;368;5.20;NA;0;0;NA
port;drag-9;l;369;6.70;NA;0;0;NA
port;drag-9;l;370;2.60;NA;0;0;NA
port;drag-9;l;371;2.40;NA;0;0;NA
port;drag-9;l;374;2.70;NA;0;0;NA
port;drag-9;l;375;2.40;NA;0;0;NA
port;drag-9;l;376;3.70;NA;0;0;NA
port;drag-9;l;377;2.30;NA;0;0;NA
port;drag-9;l;378;1.80;NA;0;0;NA
port;drag-9;l;379;2.60;NA;0;0;NA
port;drag-9;l;380;2.30;NA;0;0;NA
port;drag-9;l;381;1.90;NA;0;0;NA
port;drag-9;l;382;2.20;NA;0;0;NA
port;drag-9;l;383;5.20;NA;0;0;NA
port;drag-9;l;384;2.30;NA;0;0;NA
port;drag-9;l;385;2.90;NA;0;0;NA
port;drag-9;l;386;2.00;NA;0;0;NA
port;drag-9;l;387;2.90;NA;0;0;NA
port;drag-9;l;388;2.80;NA;0;0;NA
port;drag-9;l;389;2.30;NA;0;0;NA
